model                                                  ,price   ,depreciation ,milleage ,registration_date ,coe_left ,no_of_owner ,omv    ,arf     ,power ,capacity ,accessories
LAND ROVER RANGE ROVER EVOQUE 2.0 TSS                  , 133000 ,       33486 ,   26500 ,28-Apr-2017       ,     3.1 ,          1 , 47615 ,  58661 , 1770 ,    1999 ,"Auto Head Lights, Electric Folding Side Mirrors, Multi-function Steering Wheel, Keyless Entry and Engine Start, Driver's Electric Seat, Electric Tailgate"
MASERATI GHIBLI GRANSPORT                              , 305000 ,       34937 ,   24000 ,16-Apr-2021       ,     7.1 ,          1 , 80158 , 116285 , 2570 ,    2979 ,"Auto Head Lights, Electric Folding Side Mirrors, Multi-function Steering Wheel, Keyless Entry and Engine Start, Driver's Electric Seat"
JAGUAR E-PACE 2.0P (249PS)                             ,  96800 ,       17855 ,  113000 ,31-May-2018       ,     4.2 ,          2 , 37152 ,  44013 , 1830 ,    1997 ,LED Head Light And Daytime Running Lights. Electric Folding Side Mirrors. Lane Departure Warning With Lane Keep Assist. Electric Park Brake.
SEAT LEON FR1.5 ETSI 110KW                             , 120999 ,       14389 ,   36500 ,29-Mar-2022       ,     8.0 ,          1 , 24442 ,  11219 , 1100 ,    1498 ,"LED DRL, reverse camera, reverse sensors, lane keep assist, auto rain sensors, paddle shifters, keyless entry/start/stop, nice embedded sport seats"
AUDI A3 SEDAN 1.0 TFSI S TRONIC (LED)                  ,  88999 ,       16272 ,   76000 ,27-Dec-2018       ,     4.8 ,          2 , 22105 ,  22947 ,  850 ,     999 ,"Auto LED headlights w DRL, auto mirrors/wipers, keyless entry & engine start/stop, rear ac, driver's electric seat, rear sensors, electric park brake."
AUDI A1 SB S LINE 1.0 TFSI S TRONIC                    , 137999 ,       16286 ,   31000 ,30-Nov-2021       ,     7.7 ,          1 , 23937 ,  25512 ,  850 ,     999 ,30-colour ambient lighting. HD Virtual Cockpit. Apple CarPlay/Android Auto. 1 USB-A. 1 USB-C. Touchscreen MMI. Keyless Entry. KeylessGo. 2 ISOFIX.
TOYOTA HARRIER G GRADE                                 , 101800 ,       19524 ,   99000 ,13-Jun-2018       ,     4.2 ,          1 , 33308 ,  38632 , 1700 ,    1998 ,"Electric steering column, electronic seats, reclining rear seats, Toyota safety sense, Bluetooth, keyless entry/start/stop, reverse camera."
HYUNDAI ELANTRA AD 1.6 GLS AT                          ,  53800 ,       14052 ,   94000 ,07-Aug-2017       ,     3.4 ,          1 , 12739 ,  12739 ,  938 ,    1591 ,"Auto Head Lights, Multi-function Steering Wheel, Keyless Entry and Engine Start"
SSANGYONG TIVOLI 1.6D STD 6AT 2WD ABS E6 FL            ,  80000 ,       11660 ,   72000 ,26-Mar-2020       ,     6.0 ,          1 , 19824 ,  19824 ,  965 ,    1597 ,"Auto Head Lights, Multi-function Steering Wheel, Keyless Entry and Engine Start,"
HYUNDAI ELANTRA AD 1.6 GLS AT                          ,  42800 ,       15474 ,  102998 ,06-Jun-2016       ,     2.2 ,          2 , 17347 ,  17347 ,  938 ,    1591 ,"Leather Seats, Driver Electric Seats With Memory, Ventilated/Heated Seats, Factory Fitted Infotainment System With Reverse Cam, Rear A/C"
PEUGEOT 308 5DR ALLURE PURETECH 1.2 A/T 2WD            ,  43800 ,       14373 ,   98500 ,23-Dec-2016       ,     2.7 ,          2 , 18448 ,   8448 ,  960 ,    1199 ,"Multi functional steering, Michelin tyres, push start/stop, Bluetooth connectivity, electric handbrake."
MAZDA 3 4-DOOR SEDAN 1.5L SP.6EAT                      ,  36800 ,       13646 ,  118000 ,30-Jun-2016       ,     2.3 ,          3 , 16614 ,  11614 ,  880 ,    1496 ,"Sports Rims, Leather Seats, Factory Fitted Audio System With Multi Steering Control/Bluetooth/AUX/USB, Auto Retractable Side Mirrors."
MASERATI LEVANTE S                                     , 388800 ,       43370 ,   69000 ,30-Jun-2021       ,     7.3 ,          1 , 97028 , 146651 , 3160 ,    2979 ,"Memory electric premium red leather with red stitch on seats, carbon fiber trim, soft close, Panoramic roof, sports pedal, 360 surround camera."
LEXUS NX300 5DR SUV (AT)(4WD) EXECUTIVE                , 161800 ,       21579 ,   54000 ,27-Jul-2020       ,     6.3 ,          2 , 41170 ,  49638 , 1750 ,    1998 ,"Keyless Push Start, Smooth Leather Seats, Front Electric Seats, Dual Climate Aircon with Rear Aircon, Navigation and Auto Rain Sensors."
HONDA VEZEL 1.5X CVT                                   ,  45000 ,       15165 ,   93000 ,12-Oct-2016       ,     2.6 ,          2 , 21767 ,  12474 ,  960 ,    1496 ,"Sports rims, LED DRL, keyless entry and engine start, electric park brake, reverse camera with parking sensors, electric folding side mirror."
BMW X1 SDRIVE20I LED NAV                               ,  60500 ,       19316 ,  122000 ,01-Jun-2016       ,     2.2 ,          2 , 31663 ,  36329 , 1410 ,    1998 ,"Auto LED headlights. LED DRL. Keyless entry/start. Navigation, front and rear sensors with camera. Front electric seats driver memory, auto tailgate."
BMW 520I LED NAV                                       , 115800 ,       22976 ,   80000 ,26-Dec-2017       ,     3.8 ,          1 , 47763 ,  58869 , 1350 ,    1998 ,"360 surround cameras, soft close doors, electric memory seats, ambient lighting, original MMI audio, navi, Bluetooth/steering controls gesture control"
BMW 318I LED NAV SHAD. LIGHT                           ,  95800 ,       18412 ,   71000 ,11-May-2018       ,     4.1 ,          1 , 33755 ,  39257 , 1000 ,    1499 ,"Full LED digital speedo meter, headlight and foglight, 18"" sport rim, sport leather seats keyless entry & start/stop. BMW iDrive system."
BMW 216I GT LED NAV                                    ,  79800 ,       16263 ,   93000 ,18-Jan-2018       ,     3.8 ,          1 , 30858 ,  35202 ,  750 ,    1499 ,"Electric Memory Seat, Sports Rims, Factory Audio Sys/BT/rev Cam/sensor, Rear Aircon, Auto Folding Mirror, Knockdown Rear Seat,fog Light,auto Tailgate."
LAND ROVER DISCOVERY SPORT 2.0P 7 SEATER S/R           , 141000 ,       26411 ,   71000 ,29-Jun-2018       ,     4.3 ,          3 , 46095 ,  56533 , 1770 ,    1997 ,"10"" High Resolution infor touch screen. Land Rover sound system. Gesture tailgate. Twin Sunroof. Air suspension. Lane keep assist."
BMW X1 SDRIVE 18I LED HL                               , 158000 ,       20139 ,   55000 ,18-Jan-2021       ,     6.8 ,          1 , 35079 ,  41111 , 1030 ,    1499 ,"Auto Head Lights, Electric Folding Side Mirrors, Multi-function Steering Wheel, Keyless Entry and Engine Start, Cruise Control"
MERCEDES BENZ CLA250 4MATIC SB (R18 BI)                ,  56900 ,       21156 ,   66000 ,15-Oct-2015       ,     1.6 ,          2 , 39720 ,  47608 , 1550 ,    1991 ,"keyless entry and push start, electric memory seats, auto headlight, Park assist, paddle shift. Alcantara leather seat"
BMW 216I ACTIVE TOURER                                 , 103800 ,       15749 ,   91000 ,25-Sep-2019       ,     5.5 ,          1 , 30044 ,  34062 ,  800 ,    1499 ,"Sport rims, multi function steering, BMW connected drive with Bluetooth and reverse camera/sensor. BMW driver assistance system, dual electric seats."
BMW 216I ACTIVE TOURER                                 , 129800 ,       15436 ,   59000 ,24-Jun-2021       ,     7.3 ,          2 , 31169 ,  35637 ,  800 ,    1499 ,"BMW iDrive, BMW connected drive, intelligent safety, reverse camera and sensors, electric seats with driver's memory, comfort access tailgate."
CITROEN C4 CACTUS 1.2 AT6                              ,  78800 ,       13964 ,   74000 ,22-Mar-2019       ,     5.0 ,          2 , 18037 ,  18037 ,  810 ,    1199 ,"Factory-fitted audio and navigation systems, sports rims, auto headlights, wipers, LED day running lights, factory-fitted reverse cameras, and sensors."
HONDA SHUTTLE HYBRID 1.5 AUTO                          ,  85800 ,       16188 ,   78000 ,30-Jan-2019       ,     4.9 ,          1 , 23096 ,  14335 , 1010 ,    1496 ,"Leather upholstery, sports rims, front back recording/reverse camera, retractable side mirrors with indicators and knockdown rear seats"
HONDA SHUTTLE 1.5G CVT SENSING                         , 113800 ,       14645 ,   30000 ,28-Oct-2021       ,     7.6 ,          1 , 19256 ,   5000 ,  950 ,    1496 ,"Leather upholstery, sports rims, reverse camera, retractable side mirrors with indicators and knockdown rear seats."
HONDA SHUTTLE HYBRID 1.5 AUTO                          , 125800 ,       15998 ,   30000 ,26-Oct-2021       ,     7.6 ,          1 , 22580 ,   8612 , 1010 ,    1496 ,"Leather seat, sports rim, touchscreen DVD/Bluetooth/reverse camera, reverse sensor, fog light, auto folding mirrors. Recording camera."
HONDA CIVIC 1.6 VTI CVT                                ,  82800 ,       16632 ,  120000 ,01-Aug-2018       ,     4.4 ,          1 , 20367 ,  20514 ,  920 ,    1597 ,"Keyless entry and start, original rims, and head unit. Reverse camera and sensors, auto retractable side mirrors, and multi-function steering."
TOYOTA VITZ HYBRID 1.5F CVT                            ,  77800 ,       17095 ,   78000 ,13-Jun-2018       ,     4.2 ,          1 , 20827 ,  11158 ,  730 ,    1496 ,"Multi-function steering wheel, keyless entry/start, reverse sensor with reverse camera, upgraded head unit with Bluetooth connection."
SUBARU XV 2.0I-S EYESIGHT AWD CVT                      ,  71800 ,       15812 ,   90000 ,31-Mar-2018       ,     4.0 ,          2 , 16412 ,  16412 , 1150 ,    1995 ,"Reverse camera/sensors, factory-fitted audio with audio steering control, Bluetooth, retractable side mirrors."
TOYOTA HARRIER M GRADE                                 , 153800 ,       20565 ,   38000 ,06-Nov-2020       ,     6.6 ,          2 , 30808 ,  35132 , 1700 ,    1998 ,"Sports rim, Bluetooth, electric seat for driver. Reverse camera, LED headlamps, cruise control."
TOYOTA NOAH HYBRID 1.8X CVT                            , 138800 ,       22402 ,   83000 ,15-Oct-2019       ,     5.6 ,          1 , 32978 ,  28170 , 1000 ,    1797 ,"Leather seats, touchscreen DVD/Bluetooth, reverse sensors and camera, solar film, Sport Rims, Front and Back Recording Camera."
HYUNDAI AD AVANTE 1.6 GLS (A)                          ,  86800 ,       14604 ,   90000 ,25-Sep-2019       ,     5.5 ,          1 , 12678 ,  12678 ,  938 ,    1591 ,"Hill start assist, drive mode select, Apple CarPlay, Android Auto, Bluetooth, TPMS, in-car recorder front/back, rear aircon, reverse camera/sensors."
TOYOTA COROLLA AXIO 1.5X A                             ,  41800 ,       11855 ,  150346 ,24-Oct-2007       ,     3.5 ,          2 , 12820 ,  14102 ,  810 ,    1496 ,"Leather seats, sports rims, reverse sensors, solar film, CD player."
BMW 523I 2.5 AT ABS D/AB 2WD 4DR GAS/D                 ,  83800 ,       13043 ,  153746 ,24-Aug-2010       ,     6.4 ,          4 , 39405 ,  39405 , 1500 ,    2497 ,"Leather Seat, Sport Rim, Multi Function Steering, Reverse Sensors, Rear Aircon, Electric/Memory Seats, Auto Lights, Cruise Control, Electric Tailgate."
SUBARU XV 2.0I-S EYESIGHT AWD CVT                      , 111800 ,       14733 ,   53000 ,16-Apr-2021       ,     7.1 ,          2 , 15319 ,  15319 , 1150 ,    1995 ,"Auto tailgate, auto folding side mirror, auto locking function. EyeSight driver assist technology. Factory infotainment system. 360 camera!"
MINI ONE 5DR LED                                       ,  76000 ,       19536 ,   41000 ,29-Sep-2017       ,     3.5 ,          1 , 23251 ,  14552 ,  750 ,    1198 ,"Factory Fitted 16"" Sport Rims, Keyless Start/Stop, Bluetooth, Reverse Sensors, Rear Knockdown Seats, Fog Lamp"
MERCEDES BENZ GLB200 AMG LINE                          , 190800 ,       23865 ,   64168 ,30-Mar-2021       ,     7.0 ,          1 , 38981 ,  46574 , 1200 ,    1332 ,"AMG Styling, LED day time running lights and headlights. Keyless entry and start. Electric seats. Car play/Android. Electric tailgate. MBUX."
TOYOTA HARRIER ELEGANCE 2.0 A                          ,  54800 ,       18697 ,   80162 ,03-Jun-2016       ,     2.2 ,          1 , 28882 ,  27435 , 1110 ,    1986 ,"DVD/Bluetooth sound system, electric leather seat, reverse sensors, auto retractable side mirrors, solar films, fog lights."
BMW 116I LED HL SPORTLINE                              , 140800 ,       15905 ,   34000 ,20-Dec-2021       ,     7.7 ,          1 , 30813 ,  35139 ,  800 ,    1499 ,-
HONDA VEZEL 1.5X A                                     ,  36800 ,       15018 ,   84000 ,03-May-2016       ,     2.1 ,          1 , 20109 ,  10153 ,  960 ,    1496 ,"Factory Options,Leather Seat,Front Rear Recording Cam And Etc."
NISSAN NOTE 1.2 CVT ABS D/AIRBAG 2WD 5DR               ,  28900 ,       12917 ,   61988 ,08-Apr-2016       ,     2.0 ,          2 , 13026 ,   5000 ,  580 ,    1198 ,"Keyless Entry/start/stop, Leather Upholstery, Reverse Camera/sensors, Retractable Side Mirrors, ABS, SRS Airbags, Climatic Aircon."
VOLKSWAGEN GOLF 1.2 TSI AT 5G12BZ                      ,  55800 ,       14683 ,   87000 ,29-Sep-2017       ,     3.5 ,          2 , 18218 ,   8218 ,  810 ,    1197 ,"Leather seats, sports rims, auto retractable side mirrors, knockdown rear seats, factory audio system."
SUBARU FORESTER 2.0I-L CVT AWD SR                      ,  75800 ,       15689 ,   78285 ,17-Aug-2018       ,     4.4 ,          1 , 13451 ,  13451 , 1100 ,    1995 ,"Electric Leather Seats, Sunroof, Keyless Entry, Multi Function Steering Control, Reverse Camera With Park Sensors"
HYUNDAI ACCENT (RB) 1.4 CVT                            ,  52800 ,       12845 ,   61000 ,10-Jan-2018       ,     3.8 ,          1 ,  7979 ,   7979 ,  736 ,    1368 ,"Leather seats, Android audio system, Reverse camera, Multi-function steering, Knockdown rear seats. 1 Owner Unit."
VOLKSWAGEN GOLF TSI TL                                 ,  57000 ,       14301 ,   80000 ,29-Nov-2017       ,     3.7 ,          1 , 18524 ,   8524 ,  810 ,     999 ,"Auto brake hold, DRL, auto headlights, dual climatic aircon system, touch screen infotainment with BT, solar film, e-hand brake."
MERCEDES BENZ C200 SPORTS 9G-TRONIC M-HYBRID AUTO      , 145000 ,       22234 ,   51200 ,05-Sep-2019       ,     5.5 ,          2 , 39594 ,  47432 , 1450 ,    1497 ,"LED headlights, factory fitted audio with Bluetooth, full electric seats, reverse camera, Apple CarPlay, Android Auto."
MERCEDES BENZ A180 COMPT SALN PROGRESSIVE (R18 LED)    , 109800 ,       19147 ,   80000 ,30-Jan-2019       ,     4.9 ,          3 , 29706 ,  33589 , 1000 ,    1332 ,"Sports rims, LED high performance headlights, active brake assist, wide screen cockpit digital display, ambient lighting and leather upholstery."
AUDI Q2 1.4 TFSI COD S TRONIC                          , 134800 ,       17515 ,   58000 ,29-Jan-2021       ,     6.9 ,          2 , 26769 ,  29477 , 1100 ,    1395 ,"Leather seats, factory fitted audio system, Audi drive select, auto headlight, retractable side mirrors, reverse camera."
VOLVO S90 T6 INSCRIPTION AT SR                         ,  85800 ,       21463 ,  138000 ,03-Jan-2017       ,     2.8 ,          2 , 42939 ,  52115 , 2350 ,    1969 ,"Opt-In Air Suspension, Upholstery Heating Seats, Keyless Entry/Start, Adaptive Cruise Control, Sunroof, Navi, Lane Departure Warning, Lane Keeping Aid, Bluetooth, Reverse Camera."
SKODA KODIAQ 1.4 TSI AMBITION PLUS                     , 118800 ,       19365 ,   89580 ,16-Aug-2019       ,     5.4 ,          1 , 26038 ,  28454 , 1100 ,    1395 ,"Genuine Brembo brakes, genuine 18'' TE37 Rays wheel, car camera, 3M crystalline solar film. Apple/Android CarPlay. Park assist. Panoramic roof."
BMW 216I ACTIVE TOURER MSPT ALED                       , 185800 ,       18038 ,    3997 ,26-Jun-2023       ,     9.3 ,          1 , 32451 ,  37432 ,  900 ,    1499 ,"Lane Departure Warning With Active Return To The Lane, Speed Limit Info, Manual Speed Limit Assist, And Front Collision Warning Rear View Camera"
HONDA CITY 1.5 SV CVT                                  ,  61800 ,       13947 ,   72000 ,09-Jan-2018       ,     3.8 ,          2 , 17683 ,  17683 ,  880 ,    1497 ,"Audio Player & Reverse camera with sensors, LED Daylights, Premium Leather seats, Sport Rims, Push Start Button, knockdown rear seats."
HONDA FIT BASIC 1.3 CVT                                , 109800 ,       12429 ,   21000 ,07-Nov-2022       ,     8.6 ,          1 , 15835 ,   5000 ,  720 ,    1317 ,"Factory fabric seats, 15"" Stock Rims, Touchscreen audio player, Bluetooth, Electric Park Brake, Reverse Camera/Sensors, Auto Retractable Side Mirrors."
NISSAN NOTE E-POWER 1.2L PREMIUM                       , 110800 ,       13698 ,   44000 ,27-Jan-2022       ,     7.8 ,          1 , 21061 ,   6486 ,  850 ,    1198 ,"9"" touch screen Apple/Android player. LED headlights. Electric brake and brake hold. Intelligent rear view mirror, f/r recording camera. Solar film."
PORSCHE 718 CAYMAN (982) PDK E6                        , 205800 ,       42347 ,   65000 ,21-Dec-2017       ,     3.7 ,          4 , 67873 ,  94172 , 2200 ,    1988 ,"Stock factory condition and specifications. Twin-tract sports exhaust system, auto-deploying rear wing, front luggage compartment volume of 150l."
PORSCHE PANAMERA V6 PDK E5 G1II                        , 119800 ,       30624 ,  168000 ,05-May-2015       ,     1.1 ,          2 ,110631 , 171136 , 2280 ,    3605 ,"19"" sports rims, multi function steering control with universal audio interface, 2x electric seats/memory, park assist, reverse camera, auto tailgate."
SUBARU FORESTER 2.0I-L CVT AWD SR                      ,  68800 ,       16490 ,  117000 ,29-Dec-2017       ,     3.8 ,          1 , 13268 ,  13268 , 1100 ,    1995 ,Keyless entry/start stop. Electric leather seat. Multi function steering with cruise control. Reverse camera and sensors. Sunroof unit.
TOYOTA ALPHARD 2.5 CVT ELEGANCE S/R                    , 112000 ,       35326 ,   94000 ,11-Aug-2016       ,     2.4 ,          2 , 45427 ,  55598 , 1340 ,    2494 ,"Twin Moonroof, dual power sliding doors, electric seats up to second row, Toyota Android system, LED headlamps/daytime running lights, auto tailgate."
TOYOTA CAMRY 2.0 AUTO ABS AIRBAG                       ,  58800 ,       11897 ,  140000 ,31-Jul-2009       ,     4.9 ,          3 , 26727 ,  26727 , 1080 ,    1998 ,"Sports rims, Electric leather seats, factory fitted audio player, reverse sensors, reverse camera, solar film, retractable side mirror."
BMW X1 SDRIVE16 ALED                                   , 199800 ,       19020 ,   12000 ,21-Jul-2023       ,     9.3 ,          1 , 37522 ,  44531 ,  900 ,    1499 ,"Electric Tailgate, Electric Driver & Passenger Seats. iDrive, Bluetooth, Navigation, Apple CarPlay, Reverse Camera and Sensors."
TOYOTA C-HR HYBRID 1.8G CVT                            ,  61800 ,       18135 ,   88000 ,16-Jun-2017       ,     3.2 ,          1 , 31675 ,   6345 ,  900 ,    1797 ,"Original 18""factory Fitted Rims, Leather Seats, Pioneer Audio System With Bluetooth, Reverse Cam/sensors, Blindspot Warning Indicator, Auto Tailgate."
TOYOTA ESTIMA AERAS 2.4 A                              ,  55800 ,       15837 ,  164000 ,15-Apr-2008       ,     3.5 ,          4 , 31960 ,  31960 , 1250 ,    2362 ,"Dual Moonroof, Dual Auto Sliding Door, Dual Zone Rear Aircon, Keyless Entry/start And Stop, Android Player With Reverse Camera And Sensor."
TOYOTA PICNIC AUTO W/O ROOF RACK                       ,  69800 ,       12290 ,  150000 ,25-Nov-2009       ,     5.7 ,          4 , 24216 ,  24216 , 1100 ,    1998 ,"Premium leather seats, sports rims, auto retractable side mirrors, reverse camera and sensors, digital climatic control with 3 rows aircon."
TOYOTA PREVIA AERAS 2.4 CVT MR                         , 101800 ,       23123 ,  128000 ,03-Oct-2017       ,     3.5 ,          1 , 34489 ,  40285 , 1250 ,    2362 ,"Sports Rims, Electric Seats, Twin Power Sliding Doors/Moonroof, Electric Tailgate, Factory Fitted Audio System, Reverse Cam, 3rd Row Electric Folding."
VOLVO XC40 T5 R-DESIGN                                 , 125800 ,       22158 ,   50000 ,18-Feb-2019       ,     4.9 ,          1 , 30016 ,  34023 , 1850 ,    1969 ,"R design rims, keyless entry/start, Panoramic roof, Apple/Android CarPlay, lane departure warning, blind spot monitoring!"
VOLKSWAGEN GOLF TSI TL                                 ,  70800 ,       14464 ,   48000 ,13-Jul-2018       ,     4.3 ,          1 , 17009 ,  17009 ,  810 ,     999 ,"DRL auto headlights, Leather Upholstery, dual climatic aircon system, 6.5"" touch screen infotainment with Bluetooth, rear aircon, auto brake hold."
TOYOTA SIENTA ELEGANCE (AUTO)                          ,  91800 ,       15431 ,   68000 ,18-Jul-2019       ,     5.3 ,          2 , 19395 ,  19395 ,  790 ,    1496 ,"Keyless entry/start/stop. 2 power doors, sports rims, leather seats, factory fitted audio, Bluetooth, reverse sensor/camera, retractable side mirrors."
HONDA JAZZ 1.5 CVT                                     ,  70800 ,       14442 ,   79465 ,16-Jul-2018       ,     4.3 ,          1 , 16882 ,  16882 ,  960 ,    1498 ,"Reverse camera with parking guideline. 4 points reverse sensors. Multi function steering, collapsible 60:40 backrest and foldable backseat. CD player."
HONDA FIT 1.3GF CVT                                    ,  68800 ,       11890 ,   16241 ,26-Sep-2019       ,     5.5 ,          1 , 16456 ,   6456 ,  730 ,    1317 ,"Upgrade Android player, reverse camera/sensors, Retractable side mirrors, sports rims. leather seats, knockdown rear seats."
MITSUBISHI OUTLANDER 2.0 CVT                           , 104800 ,       17093 ,   86000 ,01-Oct-2019       ,     5.5 ,          2 , 20488 ,  20684 , 1100 ,    1998 ,"Android fitted touchscreen audio system, leather seats, LED auto headlamp, retractable mirrors, reverse sensors, front/rear camera, electric parking brake."
HONDA CIVIC TYPE-R 2.0 M                               ,  90800 ,       21110 ,  288000 ,11-Jul-2008       ,     4.3 ,          3 , 25822 ,  25822 , 1650 ,    1998 ,"Fat Tummy Intake, Stock Exhaust, BCBR Coilover, Hondata, Pioneer Headunit, Forged Radiator, Brembo BBK."
LEXUS NX350H 5DR SUV (AT)(4WD) EXECUTIVE               , 276500 ,       26074 ,    9000 ,29-Aug-2023       ,     9.4 ,          1 , 54563 ,  60670 , 1790 ,    2487 ,"Leather seats, sports rims, Apple CarPlay/Android Auto, wireless charging electric memory seats, navigation system, electric tailgate."
PORSCHE CAYMAN 2.9 A                                   , 150000 ,       21856 ,  125000 ,28-Feb-2011       ,     6.9 ,          5 , 69012 ,  69012 , 1950 ,    2893 ,High options. Sports chrono. Electric memory seats. Premium embossed beige interior leather seats. Built in camera. Sports mode.
LEXUS IS300 4DR SEDAN (AT) (2WD) EXE                   , 155000 ,       20746 ,   95000 ,24-Jul-2020       ,     6.3 ,          1 , 39331 ,  47064 , 1800 ,    1998 ,"Auto Head Lights, Electric Folding Side Mirrors, Multi-function Steering Wheel, Keyless Entry and Engine Start, Driver's Electric Seat"
MERCEDES BENZ B200                                     ,  58000 ,       11927 ,  255200 ,16-Feb-2009       ,     4.9 ,          3 , 31547 ,  31547 , 1000 ,    2035 ,"Auto Head Lights, Multi-function Steering Wheel, Knockdown Rear Seats"
HYUNDAI ELANTRA 1.6 AT ABS D/AB 2WD 4DR                ,  79800 ,       10720 ,  146000 ,26-Sep-2011       ,     7.4 ,          3 , 13886 ,  13886 ,  956 ,    1591 ,"Leather seats, upgraded sports rims, factory fitted audio system with steering control, solar film, fog lamps, multiway electric driver seats."
AUDI Q2 1.0 TFSI S TRONIC                              , 109999 ,       17197 ,   40000 ,21-Nov-2019       ,     5.7 ,          1 , 23664 ,  25130 ,  850 ,     999 ,"Keyless entry/start, Audi MMI, Audi drive select, cruise control, Bluetooth, auto climate control, ambient lightings, auto tailgate and many more."
SUBARU FORESTER 2.0XT CVT AWD SR                       ,  54988 ,       16347 ,  117000 ,28-Dec-2016       ,     2.8 ,          1 , 19595 ,  19595 , 1770 ,    1998 ,"Sunroof, Sports Rims, Brembo BBK, Multi Function Steering, Paddle Shifters, Electric Seats, Keyless Entry/start, Bluetooth, DRL, Auto Side Mirrors."
JAGUAR XF 2.0P 250PS RWD                               , 137800 ,       20642 ,   69500 ,24-Sep-2019       ,     5.5 ,          1 , 40104 ,  48146 , 1840 ,    1997 ,"8"" Factory Fitted Touch Screen Infotainment System With Navi And Mobile-phone Connectivity. Premium Meridian Sound System. Electric Memory Seats."
MERCEDES BENZ B200 SE AUTO                             , 175800 ,       19174 ,   16998 ,22-Apr-2022       ,     8.1 ,          1 , 35393 ,  41551 , 1200 ,    1332 ,"10.25"" MBUX touch display, Bluetooth interface, navigation, reverse cam, LED headlights/DRL, electric tailgate, ambient lighting, heated seats."
SUBARU XV 2.0I-S EYESIGHT AWD CVT                      ,  80800 ,       14076 ,   98000 ,28-Jun-2019       ,     5.3 ,          1 , 13360 ,  13360 , 1150 ,    1995 ,"Leather seats, reverse camera, original factory rims, factory infotainment system with Bluetooth, auto headlight."
MERCEDES BENZ GLA200 SPORT                             , 207800 ,       20049 ,    4800 ,01-Aug-2023       ,     9.4 ,          1 , 34437 ,  40212 , 1200 ,    1332 ,"LED headlights, alloy wheels, digital display, reverse camera, dynamic select, dual zone climate control, active lane keeping assist."
MERCEDES BENZ A200 FL STYLE (R17 HLG)                  ,  70000 ,       19751 ,   76000 ,13-Mar-2017       ,     3.0 ,          3 , 25411 ,  22576 , 1150 ,    1595 ,"Auto Head Lights, Electric Folding Side Mirrors, Multi-function Steering Wheel, Keyless Entry, Driver's Electric Seat"
BMW I3S REX NAV                                        , 110000 ,       19747 ,   65000 ,29-Jun-2018       ,     4.3 ,          2 , 55234 ,  51422 , 1350 ,     647 ,-
HONDA SHUTTLE HYBRID 1.5 AUTO                          ,  70800 ,       15954 ,   92500 ,22-Jun-2018       ,     4.2 ,          1 , 24296 ,   6015 , 1010 ,    1496 ,"Reverse Camera/ Sensors, Leather Seats, Multi-Functional Steering Wheel, Retractable Side Mirrors."
BMW X3 XDRIVE20I ALED                                  , 230800 ,       24713 ,   52000 ,18-May-2022       ,     8.2 ,          1 , 47380 ,  58332 , 1372 ,    1998 ,"BMW touch screen iDrive, GPS and Bluetooth, through load system, auto tailgate, front and rear park assist, roof rails and BMW 19"" sports rims."
TOYOTA HARRIER 2.4A                                    ,  26800 ,       16836 ,  142000 ,26-Oct-2005       ,     1.6 ,          1 , 36901 ,  40592 , 1180 ,    2362 ,"New Interior Leather Upholstery,Gearbox Overhaul,New Paint Job."
JAGUAR XF 2.0 I4P TSS                                  ,  83800 ,       21252 ,  128525 ,29-Jun-2016       ,     2.3 ,          2 , 55165 ,  71297 , 1770 ,    1999 ,"Bluetooth, navigation, retractable side mirrors, driver electric memory seat, Powered tailgate."
TOYOTA PRIUS 5DR HATCHBACK (AUTO)                      , 135800 ,       17441 ,   30000 ,05-Aug-2021       ,     7.4 ,          2 , 26807 ,  14530 ,  900 ,    1798 ,Keyless start/stop/entry. Premium leather seats. Reverse camera/sensors. Multi-function steering wheel. Cruise control. Recording camera.
HONDA FIT 1.3GF CVT                                    ,  69800 ,       13853 ,   82000 ,29-Jan-2019       ,     4.9 ,          2 , 15093 ,   5093 ,  730 ,    1317 ,"Upgraded Rims, Leather Seats, Pioneer Audio Player With Bluetooth, Reverse Camera/sensor, Dashcam, Retractable Side Mirrors, Knockdown Rear Seats."
TOYOTA COROLLA ALTIS ECO AUTO                          ,  66800 ,       15766 ,   72000 ,26-Dec-2017       ,     3.8 ,          2 , 19990 ,  14990 ,  960 ,    1598 ,"Sports rims, factory upholstery, Toyota DVD player with steering controls, Bluetooth, reverse sensors/reverse camera, retractable side mirrors."
SUZUKI SWIFT GLX 1.4 AT                                ,  26800 ,       14136 ,  131000 ,23-Sep-2015       ,     1.5 ,          4 , 11076 ,  11076 ,  700 ,    1372 ,"Upgraded Android multimedia player, sports rims, leather seats, reverse camera/sensor, rear knockdown seats, multi function steering wheel, dashcam."
BMW 216I GRAN TOURER NAV                               ,  98800 ,       17236 ,   66000 ,01-Nov-2018       ,     4.6 ,          1 , 33319 ,  38647 ,  800 ,    1499 ,"Electric Memory Seat, Sports Rims, Factory Audio With Bluetooth, Reverse Camera/sensor, Rear Aircon, Electric Tailgate, Dashcam, Rear Aircon."
