model                                                  ,price   ,depreciation ,milleage ,registration_date ,coe_left ,no_of_owner ,omv    ,arf     ,power ,capacity ,accessories
PORSCHE MACAN S 3.0 A/T ABS D/AIRBAG 4WD               , 149900 ,       46634 ,   99000 ,26-Apr-2016       ,     2.1 ,          4 , 73654 , 104578 , 2500 ,    2997 ,"AMS stage 1 tuned, Facelifted 2023"" Front and Rear Bumper. New Facelifted Headlight as well. 20"" Spyder Rims and new infotainment system."
NISSAN X-TRAIL 2.0 CVT ABS 4WD S/R 7-STR               ,  58800 ,       16987 ,   94000 ,19-Dec-2016       ,     2.7 ,          4 , 23227 ,  24518 , 1060 ,    1997 ,"Panoramic roof, dual zone ac, reclining 2nd row, touchscreen audio, Bluetooth, Apple CarPlay/Android Auto, around view monitor, rear parking sensor."
AUDI A3 SEDAN 1.0 TFSI S TRONIC (LED)                  , 105999 ,       15785 ,   57000 ,19-Mar-2020       ,     6.0 ,          1 , 22090 ,  22926 ,  850 ,     999 ,"Audi MMI, keyless entry/start, Bluetooth, auto LED headlights, dynamic taillight, paddle shifter, cruise control, knockdown rear seats."
MAZDA CX-9 2.5 AT TURBO 2WD EU6                        , 125999 ,       23998 ,   53000 ,07-Sep-2018       ,     4.5 ,          1 , 32801 ,  37922 , 1700 ,    2488 ,"Infotainment System, Apple CarPlay, Bluetooth, Dynamic Stability Control, Reverse Camera, Blind Spot Monitoring System, Electric Tailgate."
MERCEDES BENZ CLA250 COUPE AMG LINE AUTO               , 172500 ,       25469 ,   97988 ,15-Nov-2019       ,     5.6 ,          2 , 46493 ,  57091 , 1650 ,    1991 ,"Factory fitted sports seats, Burmester audio system and upgraded sound system, all round sensors and reverse camera,driver and passenger memory seat."
MERCEDES BENZ A 250 SPORT (BI+SR)                      ,  47800 ,       35047 ,  126000 ,06-Feb-2015       ,     0.9 ,          4 , 33814 ,  34340 , 1550 ,    1991 ,"Factory fitted audio player, reverse sensors with camera, spotless Alcantara seats and cruise control."
NISSAN MARCH 1.2 4AT AIRBAG 2WD 5DR                    ,  71400 ,       10285 ,  159000 ,17-Mar-2011       ,     6.9 ,          5 , 13245 ,  13245 ,  560 ,    1198 ,"Leather seats, factory fitted sports rims, factory fitted audio system, IRoad X5 front and rear recording camera, rear knockdown seats."
TOYOTA RUSH 1.5X A                                     ,  64999 ,       12363 ,  163337 ,25-Jun-2009       ,     5.3 ,          3 , 17928 ,  17928 ,  800 ,    1495 ,"Leather seats, upgraded sports rims, JVC audio player, retractable side mirrors with signal indicators, knockdown rear seats, reverse sensors."
HONDA HRV 1.5 DX CVT                                   ,  48800 ,       15280 ,  143610 ,11-Nov-2016       ,     2.6 ,          1 , 21466 ,  17053 ,  960 ,    1496 ,Sports rims. Bluetooth. LED head lights. Electric folding side mirrors. Multi-function steering wheel. Keyless engine start.
KIA CERATO 1.6(A) SUNROOF                              ,  85800 ,       14976 ,   64000 ,30-Apr-2019       ,     5.1 ,          1 , 18721 ,  18721 ,  938 ,    1591 ,"Sunroof, Apple CarPlay/Android Auto, ventilated electric memory seats, reverse camera/sensor, retractable side mirrors, rear aircon."
JAGUAR E-PACE 2.0P (249PS) AWD                         , 119800 ,       19299 ,   85012 ,28-May-2019       ,     5.2 ,          2 , 34023 ,  39633 , 1830 ,    1997 ,"Jaguar's in control touch pro 10 inch touchscreen multi media system, LED automatic headlights. Rain sensor wiper, Apple CarPlay, dual zone aircon."
VOLVO XC40 T5 R-DESIGN                                 , 177800 ,       21289 ,   25927 ,05-Oct-2021       ,     7.5 ,          2 , 30493 ,  34691 , 1850 ,    1969 ,"9"" Touchscreen Display With Apple CarPlay/Android Auto, Panoramic Sunroof,Wireless Charging,Navigation,Electric Tailgate,Multi Function Steering Wheel"
